car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Mazda MX5 1.8i - [2005],130,6500,123,4500,NA,1798,1,109.7,122,196,112.5,2005,2000s,Mazda,1.155555556,106.4423077
Lexus CT 200h 1.8L - [2012],98,5200,105,4000,NA,1799,1,109.7,113,181,69,2012,2010s,Lexus,1.420289855,73.92857143
Fiat Punto 1.8 16V HGT Abarth - [1998],136,7000,165,3500,NA,1800,1,109.8,130,209,130.7,1998,1990s,Fiat,1.04055088,158.5698529
Ford RS200 1.8T 16V - [1985],250,6000,207,4500,NA,1804,1,110,142,228,211.8,1985,1980s,Ford,1.180358829,175.3704
Nissan 200SX S13 1.8T - [1988],171,6400,168,4000,NA,1809,1,110.3,140,225,144.3,1988,1980s,Nissan,1.185031185,141.7684211
Proton Satria 1.8 GTi - [2000],133,6500,119,5500,NA,1834,1,111.9,126,202,119.2,2000,2000s,Proton,1.115771812,106.6526316
Mitsubishi FTO 1.8 - [1994],125,6000,125,6000,NA,1834,1,111.9,125,201,111.6,1994,1990s,Mitsubishi,1.120071685,111.6
Ford Escort Mk2 RS1800 - [1975],115,6000,120,4000,NA,1845,1,112.5,111,178,125.8,1975,1970s,Ford,0.914149444,131.2695652
Alfa-Romeo 1900C 1.9L Coupe - [1952],99,5500,104,3000,NA,1884,1,114.9,106,170,99,1952,1950s,Alfa-Romeo,1,104
BMW 3 Series 318is 4d Saloon E46 - [1996],138,6000,133,4300,NA,1895,1,115.6,132,212,109.5,1996,1990s,BMW,1.260273973,105.5326087
Volkswagen(VW) Golf GT TDi 150 - [2000],148,4000,236,1900,NA,1896,1,115.7,134,215,117.1,2000,2000s,Volkswagen(VW),1.263877028,186.727027
Skoda Fabia 1.9 vRS 130bhp - [2003],130,4000,228,1900,NA,1896,1,115.7,127,204,98.8,2003,2000s,Skoda,1.315789474,173.28
Mercedes SL Class 190SL W121 - [1954],104,5800,114,3800,NA,1897,1,115.7,107,172,91.2,1954,1950s,Mercedes,1.140350877,99.96923077
Vauxhall-Opel Manta GT/E 1.9 8v - [1974],104,4500,112,4200,NA,1897,1,115.7,119,191,105,1974,1970s,Vauxhall-Opel,0.99047619,113.0769231
Vauxhall-Opel Manta Rallye 1.9 8v - [1970],90,5100,108,2800,NA,1897,1,115.7,105,168,94.2,1970,1970s,Vauxhall-Opel,0.955414013,113.04
