car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,car_0_60_time_seconds,engine_size_cc,engine_size_cat,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
Caparo T1 3.5l V8 - [2007],575,10500,310,2.5,3494,2,376,155,249,306.2,2013,2010s,Vauxhall-Opel,1.881123449,292.3784722
Nissan R390 3.5L V8 - [1997],550,6800,470,3.8,3495,2,213.2,204,328,1045.4,2007,2000s,Caparo,0.550028697,563.6069565
Ferrari 355 F1 Berlinetta - [1997],375,8250,268,4.7,3496,2,331.9,186,299,311.9,2006,2000s,Mercedes,1.84033344,320.5940767
Bugatti EB110 SuperSport - [1992],592,8250,470,3.4,3498,2,331.9,199,320,328.3,2004,2000s,Mercedes,1.748400853,337.4512195
Jaguar XJ 220 - [1991],507,7200,472,3.6,3498,2,304.5,155,249,282.4,2008,2000s,Audi,2.025495751,236.4853147
Lotus Esprit S4 3.5 V8 Turbo - [1996],350,6500,295,4.6,3506,2,304.5,155,249,282.4,2007,2000s,Audi,2.025495751,236.4853147
AC Cobra 212 S/C - [2001],350,6500,295,4,3506,2,377.8,205,329,346,2001,2000s,Lamborghini,1.650289017,290.2521891
Ferrari 360 Challenge Stradale - [2003],425,8500,275,4,3586,2,268.2,155,249,291.5,2013,2010s,BMW,1.945111492,258.0828924
Ferrari 360 Modena F1 - [1999],400,8500,275,4.3,3586,2,362.1,183,294,324.8,2012,2010s,Aston-Martin,1.73953202,262.7143363
Porsche 911 GT2 RS 997 - [2010],611,6500,516,3.5,3600,2,362.1,205,329,339.3,2013,2010s,Aston-Martin,1.665193045,274.4426549
Porsche 911 GT2 997 - [2007],530,6500,502,3.4,3600,2,378.8,197,317,347.5,2009,2000s,Mercedes,1.620143885,295.6527531
Porsche 911 GT2 996 - [2004],475,5700,457,4,3600,2,293.2,202,325,380.4,2011,2010s,Lexus,1.48002103,239.1857904
Porsche 911 Turbo 997 - [2006],472,6000,457,4,3600,2,402.2,155,249,231.2,2009,2000s,Rolls-Royce,2.435121107,236.1278863
Porsche 911 GT2 996 - [2000],459,5700,457,3.6,3600,2,274.5,202,325,378.4,2009,2000s,Ferrari,1.485200846,267.9772242
Porsche 911 Turbo S 993 - [1998],444,6000,431,3.9,3600,2,317.5,199,320,419.4,2011,2010s,Lamborghini,1.340009537,297.0128114
Porsche 911 Turbo S 996 - [2004],444,6000,457,4.1,3600,2,274.5,199,320,393,2011,2010s,Ferrari,1.430025445,278.316726
Porsche 911 GT2 993 - [1995],430,5750,398,3.6,3600,2,317.5,201,323,378.4,2013,2010s,Lamborghini,1.485200846,267.9772242
Porsche 911 Turbo 996 - [2000],420,6000,413,3.9,3600,2,333.2,155,249,286.3,2013,2010s,Mercedes,1.945511701,272.9359066
Porsche 911 GT3 997 - [2007],414,7600,299,4.3,3600,2,376,175,281,285.7,2009,2000s,Cadillac,1.946097305,283.1307554
Porsche 911 GT3 RS 997 - [2006],409,7600,298,4.2,3600,2,333.2,186,299,301.3,2012,2010s,Mercedes,1.845336874,359.8258993
Porsche 911 Turbo 993 - [1995],408,5750,398,3.9,3600,2,444.9,200,321,433.5,2003,2000s,Pagani,1.280276817,431.9378378
Porsche 911 GT3 996 - [2003],381,7400,284,4.5,3600,2,366,198,318,231.4,2003,2000s,Bentley,2.385479689,200.7981884
Porsche 911 GT3 RS 996 - [2003],375,7400,284,4.4,3600,2,366,195,313,221.2,2005,2000s,Bentley,2.495479204,191.9471014
TVR Tamora 3.6 - [2002],350,7200,290,4.2,3600,2,317.5,202,325,368,2008,2000s,Lamborghini,1.5,265.3333333
Porsche Macan 3.6 Turbo - [2013],395,6000,406,4.7,3605,2,268.2,155,249,283.8,2011,2010s,BMW,1.945031712,258.0934783
TVR T350 T 3.6 - [2004],318,3500,290,4.4,3605,2,268.2,155,249,286.7,2012,2010s,BMW,1.925357517,260.7307971
Nissan 370Z Nismo - [2009],350,7400,276,4.5,3696,2,317.5,197,317,321.8,2011,2010s,Audi,1.71535115,232.0224638
McLaren P1 3.8 V8 Hybrid - [2013],727,7500,531,2.9,3799,2,317.5,199,320,361.9,2011,2010s,Audi,1.525283227,260.9351449
McLaren 650S 3.8 V8 Twin Turbo - [2014],641,7250,500,3,3799,2,243.6,190,305,280.2,2012,2010s,Audi,1.970021413,261.926087
McLaren 650S Spider 3.8 V8 Twin Turbo - [2014],641,7250,500,3.1,3799,2,268.2,155,249,283,2012,2010s,BMW,1.950530035,257.365942
McLaren MP4-12C 3.8 V8 Twin Turbo Spider - [2012],616,7500,443,3,3799,2,268.2,155,249,268.6,2012,2010s,BMW,2.055100521,244.2702899
McLaren MP4-12C 3.8L V8 Twin Turbo - [2012],616,7500,443,3,3799,2,243.6,155,249,276,2013,2010s,Audi,2,258
McLaren MP4-12C 3.8L V8 Twin Turbo - [2011],592,7000,443,3.3,3799,2,231.8,198,318,328.5,2013,2010s,Porsche,1.680365297,329.0951087
Nissan Skyline GTR R35 - [2012],542,6400,466,2.9,3799,2,235.2,196,315,339.6,2014,2010s,Ferrari,1.625441696,342.676087
Maserati Quattroporte 3.8 V8 - [2012],523,6500,524,4.5,3799,2,325.8,191,307,286.4,1993,1990s,Aston-Martin,1.920391061,285.8792727
Nissan Skyline GT-R Spec V - [2009],478,6400,447,3.4,3799,2,330,190,305,357.6,2003,2000s,Ford,1.53803132,325.0909091
Porsche 911 Turbo S 991 - [2013],552,6500,553,3.1,3800,2,365.6,200,321,338.4,2000,2000s,Lamborghini,1.625295508,281.1796364
Porsche 911 Turbo S 997 - [2010],523,6250,516,3.1,3800,2,427,240,386,441,2000,2000s,Saleen,1.247165533,420.9545455
Porsche 911 Turbo 991 - [2013],513,6000,487,3.4,3800,2,213.2,196,315,500.9,1997,1990s,Nissan,1.098023558,428.0418182
Porsche 911 Turbo 997 - [2009],493,6000,479,3.6,3800,2,330,162,260,317.3,2010,2010s,Ford,1.733375355,294.2236364
Nissan Skyline R35 GTR - [2007],473,6400,433,3.5,3800,2,333.2,155,249,281.3,2012,2010s,Mercedes,1.955207963,301.7581818
Porsche 911 GT3 3.8 991 - [2013],468,8250,325,3.5,3800,2,333.2,155,249,298.1,2013,2010s,Mercedes,1.84501845,287.802
Porsche 911 3.8 Speedster - [2010],402,7300,310,4.4,3800,2,444.9,220,354,437.6,2002,2000s,Pagani,1.25,442.4
Porsche 911 50 Years 911 Edition - [2013],395,7400,325,4.5,3800,2,268.2,155,249,229.8,2009,2000s,BMW,2.380330722,210.895064
Porsche 911 Carrera 4S 991 - [2012],395,7400,325,4.4,3800,2,268.2,155,249,229.8,2013,2010s,BMW,2.380330722,210.895064
Porsche 911 Carrera 4S Cabriolet 991 - [2012],395,7400,325,4.6,3800,2,365.6,208,334,334.1,2000,2000s,Lamborghini,1.625261898,281.1854512
Porsche 911 Carrera S 991 - [2011],395,7400,325,4.4,3800,2,305.1,186,299,309.1,2011,2010s,Jaguar,1.753477839,286.2881919
Porsche 911 Carrera S Cabriolet 991 - [2011],395,7400,325,4.6,3800,2,305.1,186,299,286.6,2012,2010s,Jaguar,1.891137474,265.4487085
Porsche 911 Carrera 4 S PDK 991 - [2012],395,7400,325,4.2,3800,2,317.5,198,318,329.4,2012,2010s,Audi,1.645415908,241.8841328
Porsche 911 Carrera S PDK 991 - [2011],395,7400,325,4.2,3800,2,231.8,197,317,313.2,2012,2010s,Nissan,1.730523627,269.2826568
Ferrari California T 3.9 V8 Turbo - [2014],552,7500,557,3.5,3855,2,317.5,198,318,356.5,2011,2010s,Lamborghini,1.520336606,261.7841328
Bentley Continental GT V8 - [2012],500,6000,487,4.6,3883,2,293.2,176,283,244.6,2013,2010s,Porsche,2.215862633,249.5642066
Audi A6 RS6 Avant 4.0 V8 Twin Turbo - [2012],552,5700,516,3.7,3993,2,293.2,190,305,271.6,2011,2010s,Porsche,1.995581738,295.6531365
Audi A7 RS7 Sportback Twin Turbo - [2013],552,5700,516,4.1,3993,2,305.1,186,299,328.4,2013,2010s,Jaguar,1.650426309,304.1638376
Bentley Continental V8 S - [2013],521,6000,502,4.3,3993,2,317.5,197,317,324.5,2012,2010s,Audi,1.670261941,238.2859779
Audi A8 S8 4.0 V8 Turbo - [2012],520,6000,479,4,3993,2,364.4,155,249,238.6,2012,2010s,BMW,2.250628667,245.7091248
Audi A8 S8 4.0 V8 Turbo - [2011],513,5800,479,4.2,3993,2,350.7,199,320,289.6,2004,2000s,Ferrari,1.840469613,235.8093809
Audi A8 S8 4.0 V8 Turbo - [2013],512,5800,479,4,3993,2,219.6,204,328,356.6,2007,2000s,Porsche,1.486259114,337.7607547
Audi A8 4.0 V8 TFSI Quattro - [2013],429,5100,443,4.4,3993,2,333.2,155,249,287.2,2012,2010s,Mercedes,1.8454039,319.7132075
Porsche 911 GT3 4.0 997 - [2011],493,8250,339,3.8,3996,2,231.8,191,307,264.8,2012,2010s,Maserati,1.975075529,265.3063098
TVR Sagaris 4.0 - [2003],400,7000,349,3.9,3996,2,231.8,196,315,329.9,2010,2010s,Porsche,1.585328888,325.4845124
TVR Tuscan S 4.0 - [2001],390,0,310,3.9,3996,2,302.7,196,315,367.6,2007,2000s,Lamborghini,1.420021763,264.7846743
BMW 3 Series M3 GTR E46 - [2001],345,7250,269,3.6,3997,2,243.6,192,308,227,2013,2010s,Bentley,2.295154185,218.7216891
BMW 3 Series M3 Coupe Frozen Edition E92 - [2010],443,8400,310,4.4,3999,2,286.6,202,325,422.7,1995,1990s,Ferrari,1.230186894,282.0709615
Porsche 9FF GT9R - [2009],1120,7850,774,2.9,4000,3,243.6,155,249,263.2,2012,2010s,Audi,1.975683891,242.4476923
Porsche 9FF GT9 - [2008],987,7850,711,3,4000,3,348.2,210,337,359.3,1994,1990s,Lamborghini,1.447258558,295.7315385
Audi A8 4.2 TDi Quattro - [2013],380,3750,627,4.6,4134,3,317.5,196,315,319.7,2009,2000s,Audi,1.620269002,241.3179537
Gumpert Apollo Enraged 4.2 V8 Turbo - [2012],769,6000,679,2.9,4163,3,378.8,155,249,250.2,2006,2000s,Mercedes,2.070343725,224.6003861
Gumpert Apollo S 4.2 V8 Twin Turbo - [2009],740,6000,664,3,4163,3,333.2,155,249,264.9,2012,2010s,Mercedes,1.955454889,263.8772201
Gumpert Apollo 4.2L V8 Twin Turbo - [2005],641,6500,627,3,4163,3,317.5,194,312,300.2,2009,2000s,Audi,1.725516322,226.5988417
Audi A5 RS5 4.2 Quattro - [2010],444,8250,317,4.5,4163,3,317.5,193,310,284.6,2012,2010s,Audi,1.820098384,214.8235521
Audi A4 RS4 Avant 4.2L V8 - [2012],444,8250,317,4.6,4163,3,378.8,155,249,262.9,2008,2000s,Mercedes,1.970330924,236.0009653
Audi A5 RS5 4.2 V8 Cabriolet - [2012],444,8250,317,4.6,4163,3,378.8,155,249,242,2009,2000s,Mercedes,2.140495868,217.2393822
Audi R8 4.2 V8 S-Tronic FSI Quattro - [2012],424,7900,317,4.2,4163,3,302.7,196,315,337.5,2003,2000s,Lamborghini,1.52,247.3684211
Audi R8 Spyder 4.2 V8 FSI Quattro S-Tronic - [2012],424,7900,317,4.4,4163,3,302.7,195,313,326.7,2005,2000s,Lamborghini,1.570247934,239.4526316
Audi R8 4.2 FSI Quattro V8 - [2006],414,7800,317,4.3,4163,3,243.6,155,249,250.2,2011,2010s,Audi,2.050359712,233.6175439
Audi A4 RS4 4.2 V8 - [2005],414,7800,317,4.6,4163,3,231.8,196,315,307.1,2013,2010s,Porsche,1.670465646,291.5354776
